58164,813431,56
58160,84514,34
58148,550001,33
58144,822645,56
58134,447299,41
58121,81761,34
58115,328416,52
58109,339124,50
58098,258117,73
58091,323385,52
58090,528875,33
58075,548545,33
58060,833982,56
58043,198394,85
58025,438868,41
58022,862886,56
58016,146859,85
58015,266976,73
57990,482175,80
57983,538929,33
57978,840007,56
57967,136618,85
57967,747135,46
57964,103023,34
57963,817670,56
57962,14520,34
57960,516445,33
57956,574267,33
57950,163350,85
57935,481377,80
57918,358221,50
57899,247449,73
57880,881254,63
57877,357354,50
57876,615207,47
57869,439973,41
57858,814777,56
57846,399048,50
57836,617464,47
57828,536948,33
57821,757008,46
57820,236404,73
57819,348828,50
57806,354616,50
57768,918399,63
57750,371804,50
57742,203488,85
57741,175638,85
57721,546491,33
57706,626683,47
57698,270759,73
57695,116063,34
57695,145518,85
57665,307546,52
57634,513421,33
57626,371788,50
57621,357664,50
57587,369978,50
57571,625025,47
57547,892962,63
57528,342760,50
57506,341974,50
57501,812427,56
57475,340774,50
57474,647352,47
57469,275864,73
57430,806342,56
57421,752503,46
57413,381158,50
57406,931548,63
57390,283286,73
57367,779993,56
57364,210267,85
57360,873478,63
57348,959429,63
57343,761455,46
57334,266688,73
57323,919517,63
57319,144749,85
57304,528677,33
57285,60155,34
57282,330366,52
57278,438549,41
57277,455875,41
57270,814192,56
57267,161979,85
57245,260024,73
57238,591405,47
57233,547275,33
57223,878408,63
57209,692392,46
57209,634681,47
57205,812712,56
57200,322452,52
57192,153203,85
57178,611510,47
57177,250432,73
57175,238910,73
57172,248237,73
57135,514075,33
57132,808209,56
57115,553925,33
57064,820169,56
57061,941072,63
57059,470950,80
57052,260927,73
57043,817814,56
57039,736424,46
57030,540887,33
57019,803510,56
57009,323638,52
57008,347717,50
57003,926109,63
56980,326203,52
56968,45004,34
56966,233726,73
56944,168263,85
56941,660847,47
56928,359357,50
56927,951602,63
56917,840315,56
56913,914756,63
56910,259549,73
56908,297783,52
56905,627711,47
56898,42595,34
56884,438530,41
56880,55336,34
56879,190102,85
56850,795122,56
56847,49930,34
56825,819022,56
56822,178538,85
56782,469850,80
56779,242932,73
56776,261876,73
56768,932706,63
56737,443676,41
56709,541825,33
56693,243890,73
56672,385799,50
56664,439874,41
56664,350580,50
56662,625463,47
56654,346168,50
56638,463481,41
56627,907306,63
56619,71866,34
56604,447935,41
56595,119267,34
56573,196943,85
56572,632967,47
56565,165265,85
56560,856729,56
56551,689035,46
56543,916494,63
56518,72709,34
56517,64915,34
56496,410687,41
56477,516350,33
56477,605042,47
56464,625898,47
56427,442440,41
56425,260576,73
56422,967378,63
56421,683530,47
56418,636434,47
56395,736306,46
56367,349108,50
56360,621186,47
56352,423802,41
56341,342652,50
56331,423620,41
56328,540222,33
56319,88602,34
56278,620127,47
56269,569573,33
56228,884021,63
56223,567808,33
56217,623365,47
56215,318157,52
56161,716761,46
56159,137812,85
56148,605070,47
56146,272692,73
56140,914731,63
56133,96213,34
56090,927137,63
56087,685441,46
56080,574677,33
56071,201211,85
56067,673251,47
56066,233844,73
56053,332655,52
56049,610595,47
56042,736383,46
56039,454830,41
56026,844723,56
56016,366240,50
56015,198947,85
55990,723038,46
55984,191383,85
55969,344245,50
55961,690689,46
55958,544164,33
55952,659824,47
55951,878442,63
55949,92697,34
55946,628231,47
55943,199953,85
55928,914904,63
55896,660104,47
55891,841456,56
55885,353740,50
55881,410108,41
55878,246316,73
55843,203407,85
55837,926804,63
55824,834525,56
55815,96388,34
55800,541978,33
55778,933958,63
55769,88583,34
55755,920335,63
55754,560057,33
55740,296300,73
55727,660293,47
55727,265291,73
55721,69392,34
55716,134368,85
55704,806221,56
55697,300328,52
55693,178245,85
55687,810522,56
55662,247506,73
55654,925638,63
55652,448782,41
55649,506035,80
55638,467218,80
55631,254000,73
55624,234716,73
55613,456136,41
55613,530751,33
55608,267097,73
55606,361001,50
55606,527728,33
55593,821584,56
55590,790148,56
55588,469729,80
55586,266735,73
55572,249568,73
55571,658842,47
55562,925656,63
55557,632857,47
55554,86162,34
55540,53178,34
55540,197156,85
55531,441085,41
55525,894233,63
55507,218076,85
55500,59060,34
55496,361611,50
55493,549397,33
55491,966782,63
55441,166517,85
55440,461268,41
55436,202792,85
55432,810488,56
55430,527424,33
55415,525900,33
55407,256053,73
55406,331327,52
55404,172450,85
55385,836208,56
55382,446674,41
55382,445426,41
55380,166013,85
55375,340375,50
55351,83291,34
55347,170684,85
55346,708719,46
55334,767513,46
55329,240335,73
55306,102168,34
55282,660261,47
55277,826104,56
55252,529283,33
55249,94853,34
55245,629367,47
55200,585401,33
55172,241962,73
55161,382779,50
55160,375742,50
55158,70967,34
55152,55095,34
55147,161881,85
55146,468324,80
55119,737493,46
55117,841429,56
55097,634891,47
55088,883979,63
55085,717059,46
55084,531471,33
55081,264980,73
55062,676852,47
55033,354998,50
55021,266734,73
55012,733605,46
55011,721173,46
54988,387811,50
54972,607431,47
54966,80066,34
54946,644666,47
54935,910796,63
54923,84227,34
54909,427023,41
54909,908651,63
54906,562259,33
54876,271626,73
54868,834185,56
54855,725688,46
54839,368666,50
54839,556844,33
54819,746890,46
54814,329672,52
54793,844651,56
54789,902712,63
54785,69646,34
54775,826249,56
54764,771092,46
54764,637614,47
54758,601740,47
54738,92443,34
54732,67864,34
54728,838767,56
54717,101964,34
54677,245770,73
54655,415076,41
54652,285322,73
54647,889009,63
54588,727094,46
54582,853434,56
54578,253464,73
54553,718331,46
54544,272225,73
54535,739067,46
54526,197963,85
54518,793238,56
54483,736496,46
54458,474371,80
54449,632550,47
54446,574581,33
54446,193256,85
54438,821784,56
54436,346998,50
54425,611396,47
54406,790752,56
54397,352663,50
54397,321999,52
54367,313392,52
54362,610348,47
54345,273648,73
54315,607047,47
54304,725032,46
54292,245975,73
54286,154283,85
54272,718218,46
54264,196637,85
54257,508002,33
54240,162356,85
54224,266765,73
54213,249721,73
54188,91401,34
54186,277315,73
54167,554064,33
54165,940861,63
54134,922386,63
54117,75524,34
54115,276456,73
54108,650551,47
54105,371985,50
54080,815796,56
54078,764998,46
54075,282603,73
54073,644322,47
54071,239840,73
54061,724265,46
54051,550810,33
54049,407194,41
54044,66974,34
54013,252596,73
54010,604928,47
54006,731303,46
53986,730404,46
53983,578109,33
53969,355799,50
53956,901833,63
53940,73133,34
53932,133547,85
53925,378511,50
53925,44682,34
53906,932166,63
53875,432915,41
53869,830949,56
53864,619606,47
53829,494180,80
53828,563662,33
53813,432066,41
53806,381005,50
53774,528075,33
53772,697707,46
53761,99624,34
53744,84620,34
53711,474512,80
53708,453256,41
53696,546722,33
53693,100451,34
53691,517769,33
53682,95844,34
53672,443937,41
53667,489100,80
53655,335120,52
53654,829160,56
53651,456952,41
53634,308188,52
53619,298878,52
53617,867594,63
53616,815127,56
53607,649488,47
53599,614726,47
53578,88048,34
53570,798698,56
53553,277210,73
53521,91382,34
53503,618770,47
53491,431323,41
53471,679986,47
53468,262039,73
53436,840104,56
53432,196218,85
53418,91038,34
53410,163869,85
53396,663140,47
53390,373088,50
53387,94776,34
53381,452274,41
53363,729214,46
53358,943005,63
53351,183293,85
53346,216569,85
53321,816786,56
53289,773926,56
53281,727034,46
53276,275588,73
53266,363560,50
53266,259359,73
53242,635445,47
53229,502108,80
53220,888862,63
53202,844349,56
53200,433277,41
53182,174190,85
53182,308738,52
53176,938894,63
53137,249310,73
53134,334492,52
53134,247523,73
53124,610156,47
53115,753915,46
53106,762702,46
53062,342375,50
53033,357381,50
53019,442727,41
53002,761544,46
52990,229757,73
52983,78760,34
52958,835524,56
52939,99902,34
52926,81696,34
52920,831702,56
52919,295802,73
52911,693539,46
52887,889550,63
52859,525760,33
52846,180717,85
52813,515464,33
52810,235331,73
52806,442823,41
52804,228309,73
52792,628671,47
52789,392014,50
52754,623218,47
52752,648502,47
52736,84882,34
52730,808816,56
52726,812363,56
52722,615504,47
52673,95024,34
52666,109091,34
52633,47298,34
52606,767755,46
52595,72026,34
52581,714076,46
52575,823845,56
52562,597095,47
52552,225159,73
52551,626104,47
52540,526427,33
52519,200113,85
52515,436464,41
52505,275824,73
52488,188827,85
52479,132672,85
52475,138847,85
52474,270165,73
52450,343412,50
52436,289253,73
52428,927860,63
52415,319376,52
52412,493728,80
52410,428874,41
52385,343736,50
52354,81299,34
52318,555314,33
52317,800979,56
52298,529694,33
52292,116171,34
52280,873833,63
52278,734033,46
52267,637964,47
52263,848762,56
52260,256428,73
52183,287019,73
52180,374267,50
52177,764454,46
52158,901390,63
52134,547783,33
52077,85411,34
52042,933807,63
52038,919460,63
51990,100683,34
51989,165044,85
51979,276466,73
51973,799895,56
51970,551643,33
51954,246039,73
51953,589603,47
51951,433952,41
51941,308065,52
51939,432872,41
51922,650538,47
51913,933277,63
51901,834514,56
51887,199801,85
51886,156635,85
51853,530036,33
51829,753395,46
51825,614201,47
51811,540771,33
51811,550522,33
51808,902156,63
51808,440425,41
51807,362503,50
51783,217497,85
51752,951274,63
51748,795920,56
51745,409302,41
51731,912748,63
51718,865718,63
51717,882754,63
51713,933367,63
51696,383094,50
51686,826021,56
51676,885381,63
51652,811129,56
51650,553159,33
51649,399032,50
51648,500128,80
51600,852435,56
51597,514585,33
51585,356267,50
51582,469849,80
51558,819865,56
51556,181751,85
51547,454158,41
51535,331430,52
51533,244568,73
51527,613264,47
51517,578942,33
51500,477585,80
51495,552374,33
51480,724176,46
51419,221793,73
51418,53356,34
51385,732482,46
51369,732684,46
51336,602403,47
51319,86129,34
51316,351255,50
51302,814008,56
51297,288092,73
51291,381787,50
51249,669932,47
51243,898693,63
51227,889996,63
51206,748792,46
